ID;country;region;n;mean_overall;sd_overall;md_overall;min_overall;max_overall;mean_value_eur;sd_value_eur;md_value_eur;min_value_eur;max_value_eur;mean_age;sd_age;md_age;min_age;max_age
1;Afghanistan;AFC;1;60,0000000000000;NA;60,0;60;60;250000,000000000;NA;250000,0;250000;250000;27,0000000000000;NA;27,0;27;27
2;Albania;UEFA;30;71,6666666666667;3,032392174315614;72,0;68;79;3404166,633333333;2908386,2261600117;2650000,0;250000;12500000;27,0333333333333;3,458954728829499;26,0;21;36
3;Algeria;CAF;30;75,5000000000000;3,287908883711075;75,0;71;84;10016666,666666666;8930539,7501990367;8250000,0;1100000;34500000;27,1000000000000;4,121850940101279;26,0;19;34
4;Andorra;UEFA;1;67,0000000000000;NA;67,0;67;67;1200000,000000000;NA;1200000,0;1200000;1200000;23,0000000000000;NA;23,0;23;23
5;Angola;CAF;30;67,9333333333333;5,284546979790150;68,0;55;77;2361166,666666667;2205451,5853680167;1500000,0;210000;9500000;25,3000000000000;4,496358680011009;25,0;18;38
6;Anguilla;CONCACAF;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;Antigua and Barbuda;CONCACAF;4;60,2500000000000;3,774917217635375;60,0;56;65;411250,000000000;234534,1126574128;337500,0;220000;750000;26,0000000000000;2,943920288775949;26,5;22;29
8;Argentina;CONMEBOL;30;81,8000000000000;2,905405188669014;81,0;79;88;32950000,000000000;26526288,1971308105;25750000,0;5500000;107000000;28,5000000000000;4,447005966823691;27,0;20;38
9;Armenia;UEFA;9;69,2222222222222;7,155029311221893;67,0;61;83;3335000,000000000;4510248,0530454200;1200000,0;90000;11500000;28,7777777777778;5,494947173944845;29,0;21;36
10;Aruba;CONCACAF;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;Australia;AFC;30;70,6333333333333;2,157318471738873;70,0;68;78;2174166,666666667;989001,6590528024;1900000,0;725000;4600000;27,9000000000000;4,011621049934286;28,0;21;34
12;Austria;UEFA;30;76,4666666666667;2,388670577211680;75,5;74;82;10490000,000000000;6996223,1190146077;8250000,0;1200000;27500000;28,0333333333333;3,727653725716832;27,5;21;38
13;Azerbaijan;UEFA;15;66,5333333333333;2,748159557300295;67,0;61;70;1148333,333333333;692399,2104751902;900000,0;500000;3100000;26,7333333333333;3,514595418021960;26,0;21;33
14;Bahamas;CONCACAF;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;Bahrain;AFC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;Bangladesh;AFC;1;72,0000000000000;NA;72,0;72;72;2500000,000000000;NA;2500000,0;2500000;2500000;27,0000000000000;NA;27,0;27;27
17;Barbados;CONCACAF;1;63,0000000000000;NA;63,0;63;63;1100000,000000000;NA;1100000,0;1100000;1100000;23,0000000000000;NA;23,0;23;23
18;Belarus;UEFA;3;65,0000000000000;2,645751311064591;64,0;63;68;1241666,666666667;339423,5309069384;1200000,0;925000;1600000;22,6666666666667;2,516611478423583;23,0;20;25
19;Belgium;UEFA;30;80,2000000000000;3,209898483731545;79,5;77;89;25466666,666666668;11477814,6824671067;26750000,0;10000000;54000000;26,3333333333333;4,396968652757639;26,0;20;34
20;Belize;CONCACAF;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;Benin;CAF;9;65,6666666666667;4,330127018922194;64,0;60;73;1441666,666666667;1115375,4973102107;1000000,0;350000;3200000;25,8888888888889;3,689323936863109;27,0;22;31
22;Bermuda;CONCACAF;2;61,0000000000000;12,727922061357855;61,0;52;70;417500,000000000;364159,9923110720;417500,0;160000;675000;28,0000000000000;9,899494936611665;28,0;21;35
23;Bhutan;AFC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;Bolivia;CONMEBOL;30;66,1000000000000;2,023141974325050;65,5;64;72;872833,333333333;446083,8859825956;812500,0;90000;1700000;28,4333333333333;4,710101641288048;28,5;20;38
25;Bosnia and Herzegovina;UEFA;30;72,3333333333333;3,717000397366536;71,5;67;81;4088500,000000000;4423694,2647832101;2700000,0;180000;23000000;27,9666666666667;5,109040893413823;27,0;20;39
26;Botswana;CAF;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
27;Brazil;CONMEBOL;30;83,3333333333333;2,720716606075450;82,0;81;89;45200000,000000000;27367108,3728196435;34500000,0;21500000;141000000;26,8333333333333;2,627222649600660;27,0;21;32
28;British Virgin Islands;CONCACAF;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;Brunei;AFC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;Bulgaria;UEFA;24;66,6250000000000;4,780508432119456;67,0;56;77;1839583,333333333;2121831,6106746006;1300000,0;350000;10500000;24,7916666666667;3,999773544314365;24,5;18;33
31;Burkina Faso;CAF;28;65,3928571428571;6,690730379851891;64,0;54;81;3106250,000000000;5703680,6870326838;1050000,0;250000;28000000;22,6428571428571;3,105720954223455;22,5;18;30
32;Burundi;CAF;3;68,6666666666667;7,234178138070235;65,0;64;77;5241666,666666667;7585773,4169518491;975000,0;750000;14000000;25,6666666666667;0,577350269189626;26,0;25;26
33;Cambodia;AFC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;Cameroon;CAF;30;73,5333333333333;3,963047706808080;72,0;69;85;8393333,300000001;13863296,4623079132;3100000,0;1000000;64500000;26,3333333333333;3,487251000462956;26,0;20;36
35;Cape Verde;CAF;29;67,0344827586207;4,632823565299256;67,0;59;77;2047931,034482759;3559454,8432011576;1200000,0;110000;19500000;27,3448275862069;3,930429475524140;27,0;22;35
36;Cayman Islands;CONCACAF;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
37;Central African Republic;CAF;4;72,2500000000000;4,349329450233296;71,5;68;78;4300000,000000000;3335665,8505711667;3300000,0;1600000;9000000;27,2500000000000;4,573474244670748;27,5;22;32
38;Chad;CAF;1;73,0000000000000;NA;73,0;73;73;3600000,000000000;NA;3600000,0;3600000;3600000;27,0000000000000;NA;27,0;27;27
39;Chile;CONMEBOL;30;72,9666666666667;1,847334208572158;72,5;71;77;3015833,300000000;2109711,5507881092;2400000,0;425000;10000000;29,6666666666667;4,908355531437032;30,5;21;38
40;China;AFC;30;67,6333333333333;1,884296874869689;67,0;65;71;927666,666666667;571752,8000524493;875000,0;90000;2200000;30,2000000000000;3,772861348979139;30,0;24;37
41;Chinese Taipei;AFC;3;61,6666666666667;9,073771725877465;58,0;55;72;746666,666666667;1007240,4545754372;300000,0;40000;1900000;30,3333333333333;6,027713773341708;31,0;24;36
42;Colombia;CONMEBOL;30;77,2666666666667;2,462593717220109;76,5;75;85;12237500,000000000;11368435,4873937909;8750000,0;825000;54500000;29,5333333333333;4,368644809464872;29,5;21;39
43;Comoros;CAF;13;67,1538461538462;5,535433645255414;67,0;58;77;2757692,307692308;3621167,2930289432;1700000,0;425000;14000000;24,2307692307692;2,650592580092426;24,0;20;30
44;Congo;CAF;16;64,5625000000000;4,898554208471448;63,5;56;73;1114062,500000000;897680,7501370778;712500,0;300000;3600000;24,6875000000000;3,419917152992647;25,5;20;29
45;Costa Rica;CONCACAF;13;67,1538461538462;2,967775649824681;68,0;59;71;1573076,923076923;795001,4110614795;1600000,0;350000;3100000;25,4615384615385;3,907586309888851;25,0;20;32
46;Croatia;UEFA;30;77,8000000000000;3,044497580429549;78,0;74;84;13723333,333333334;10710732,0762492884;11750000,0;0;53500000;28,0666666666667;4,370223172186135;27,5;21;39
47;Cuba;CONCACAF;2;65,5000000000000;0,707106781186548;65,5;65;66;862500,000000000;194454,3648263006;862500,0;725000;1000000;26,5000000000000;2,121320343559642;26,5;25;28
48;Curaçao;CONCACAF;15;64,5333333333333;4,290632099064636;66,0;57;71;1331666,666666667;808187,2720271377;1300000,0;425000;2900000;23,0666666666667;3,473710792030141;23,0;18;32
49;Cyprus;UEFA;26;65,1538461538462;4,566769603930618;65,0;55;72;1127115,384615385;991950,7780902468;850000,0;180000;4900000;25,5000000000000;4,216633728461603;25,0;19;34
50;Czech Republic;UEFA;30;75,4666666666667;2,270247340821204;75,0;74;85;8593333,333333334;9557121,6750988197;5500000,0;1400000;54000000;27,3333333333333;3,506971709996054;27,0;21;34
51;DR Congo;CAF;30;72,2333333333333;3,910051885477536;71,0;67;82;5275833,300000000;7559609,3370106379;2150000,0;675000;31000000;27,1333333333333;3,104316609045444;27,0;20;34
52;Denmark;UEFA;30;77,7000000000000;2,002584536938754;77,5;75;83;14333333,333333334;8462262,4077412803;12250000,0;1900000;43000000;26,8333333333333;3,543652249356279;26,5;22;38
53;Djibouti;CAF;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
54;Dominica;CONCACAF;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
55;Dominican Republic;CONCACAF;9;65,1111111111111;8,053639618899712;65,0;54;75;2065000,000000000;2175731,1989306030;825000,0;210000;5500000;24,3333333333333;4,153311931459037;22,0;20;31
56;Ecuador;CONMEBOL;30;73,1000000000000;4,626386092390265;71,5;70;87;10740833,333333334;23112157,6486956514;2800000,0;350000;93000000;26,6666666666667;5,012627732198871;26,0;18;38
57;Egypt;CAF;10;70,6000000000000;12,176480060619600;72,5;52;91;14757000,000000000;28180588,6895374991;1850000,0;210000;82000000;27,2000000000000;5,349974039397035;26,5;20;34
58;El Salvador;CONCACAF;4;64,5000000000000;4,434711565216690;64,0;60;70;1043750,000000000;867077,2264721676;912500,0;250000;2100000;26,2500000000000;4,787135538781691;26,0;21;32
59;England;UEFA;30;83,1666666666667;2,742806683991259;82,0;80;90;48900000,000000000;35258258,9982291535;36000000,0;8500000;174500000;26,1333333333333;3,245509718570156;26,0;20;33
60;Equatorial Guinea;CAF;11;65,9090909090909;5,923758020961785;64,0;59;76;1952272,727272727;2509717,4777615545;700000,0;375000;8500000;25,9090909090909;3,961175215880900;24,0;21;33
61;Eritrea;CAF;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
62;Estonia;UEFA;7;66,5714285714286;3,735288603626359;66,0;62;73;1746428,571428571;1939363,5431194822;1000000,0;375000;6000000;26,0000000000000;4,082482904638630;27,0;21;32
63;Eswatini;CAF;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
64;Ethiopia;CAF;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
65;Faroe Islands;UEFA;4;61,2500000000000;3,403429642777023;62,0;57;64;493750,000000000;218303,1149571623;462500,0;300000;750000;25,0000000000000;2,160246899469287;24,5;23;28
66;Fiji;OFC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
67;Finland;UEFA;30;70,0000000000000;3,342516087186933;69,0;66;81;2188333,266666667;1905965,3090521898;2050000,0;0;9000000;27,1333333333333;4,754187506880089;27,0;18;35
68;France;UEFA;30;84,3333333333333;2,440086676432980;84,0;81;91;56933333,333333336;32609162,3821337670;50500000,0;18500000;173500000;26,3333333333333;3,853644341742460;26,0;20;37
69;Gabon;CAF;10;70,1000000000000;7,309810759064377;67,5;60;81;4812500,000000000;5900002,9425604716;2200000,0;325000;17000000;27,6000000000000;5,059644256269407;27,5;21;36
70;Gambia;CAF;30;67,8000000000000;3,708331718971623;67,0;63;78;2842500,000000000;4792937,2878045868;1550000,0;625000;23000000;24,8666666666667;3,748409624446570;25,5;18;31
71;Georgia;UEFA;30;69,5333333333333;6,699116428271734;69,5;57;87;7873333,300000000;20822020,7739499807;1950000,0;375000;109000000;24,6333333333333;3,189241973857752;24,0;20;32
72;Germany;UEFA;30;83,2333333333333;2,402345597081338;82,0;81;89;39640000,000000000;32712937,4386047609;29500000,0;4000000;150500000;28,7000000000000;3,949246981911606;29,0;22;39
73;Ghana;CAF;30;74,7333333333333;3,204881334435971;73,5;71;83;7930000,000000000;8531529,7573178522;4250000,0;0;30000000;26,9666666666667;4,012766981843664;26,5;20;35
74;Gibraltar;UEFA;1;52,0000000000000;NA;52,0;52;52;190000,000000000;NA;190000,0;190000;190000;19,0000000000000;NA;19,0;19;19
75;Greece;UEFA;30;75,3666666666667;2,484202964295811;75,0;72;82;9981666,633333333;10785786,3499719575;5500000,0;350000;42500000;27,2666666666667;4,193042951771696;27,5;18;35
76;Grenada;CONCACAF;8;64,1250000000000;3,044315545875155;64,5;60;69;643750,000000000;461122,4659148896;462500,0;250000;1600000;28,7500000000000;2,815771906346718;28,5;25;33
77;Guam;AFC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
78;Guatemala;CONCACAF;4;65,7500000000000;4,272001872658765;65,5;61;71;912500,000000000;541794,8566262573;725000,0;500000;1700000;26,7500000000000;6,291528696058958;28,0;18;33
79;Guinea;CAF;30;69,1000000000000;5,573026169834050;67,5;63;87;5446333,333333333;14514613,2625337113;1650000,0;190000;79500000;25,1333333333333;4,057630813182977;24,5;18;35
80;Guinea-Bissau;CAF;25;67,0800000000000;4,367684359779981;66,0;59;76;1631000,000000000;1703890,7682125636;1100000,0;275000;8000000;26,0000000000000;3,862210075418822;27,0;18;34
81;Guyana;CONCACAF;7;63,1428571428571;4,298393941484479;63,0;58;71;778571,428571429;642493,2832704316;575000,0;325000;2200000;24,8571428571429;1,573591584938886;25,0;23;27
82;Haiti;CONCACAF;14;66,5714285714286;6,321079334737380;69,0;55;75;1388214,285714286;1643694,9547880241;750000,0;150000;6500000;27,2857142857143;5,552941998181220;27,0;18;37
83;Honduras;CONCACAF;11;67,6363636363636;5,025390079839122;67,0;56;73;1565909,090909091;854639,7433475060;1500000,0;325000;3500000;26,3636363636364;4,455843966584272;26,0;21;33
84;Hong Kong;AFC;9;58,5555555555556;5,198824653494074;59,0;50;67;476111,111111111;656823,6910397729;275000,0;100000;2200000;25,5555555555556;2,603416558635551;26,0;22;30
85;Hungary;UEFA;30;72,5666666666667;5,130593387294215;70,0;68;85;6552666,633333334;11837486,0325766932;2350000,0;0;49500000;26,7000000000000;4,728125676607285;25,5;19;36
86;Iceland;UEFA;30;69,4666666666667;3,339763912091055;69,0;66;79;3232500,000000000;5006251,0493347729;1700000,0;0;22500000;25,6666666666667;3,717000397366536;25,0;20;34
87;India;AFC;30;64,3666666666667;2,025413254270524;64,5;61;68;491333,333333333;339182,4179459751;400000,0;0;1300000;30,5333333333333;5,110727954986946;29,0;21;40
88;Indonesia;AFC;14;68,0714285714286;5,553436714383206;68,5;58;78;2526785,714285714;2663724,6964057223;1900000,0;450000;11000000;24,4285714285714;2,953857600710421;25,0;20;28
89;Iran;AFC;6;71,0000000000000;4,289522117905443;69,5;67;78;3704166,666666667;4416118,6766963890;1450000,0;600000;11500000;29,5000000000000;3,016620625799671;30,0;24;32
90;Iraq;AFC;14;65,4285714285714;2,651974176527184;66,0;60;68;1398214,285714286;647217,7351581898;1350000,0;500000;2600000;23,5714285714286;2,502745744924215;23,5;20;28
91;Israel;UEFA;22;68,6363636363636;5,028920688382676;69,0;61;77;3447727,272727273;4034109,8408189393;2050000,0;325000;17000000;23,7272727272727;3,340684534668480;24,5;19;29
92;Italy;UEFA;30;82,7333333333333;2,273283108623742;82,0;80;89;36433333,333333336;22333959,5040027946;29000000,0;7500000;97000000;28,2000000000000;3,055802846140889;28,0;22;37
93;Ivory Coast;CAF;30;76,6666666666667;2,411657511758871;77,0;73;81;13700000,000000000;9821054,0904872250;10250000,0;2900000;40000000;26,1000000000000;3,111159003462791;26,5;21;32
94;Jamaica;CONCACAF;30;68,0333333333333;3,952156402508010;67,5;63;79;1982500,000000000;3338684,8923408194;1150000,0;275000;18500000;27,5666666666667;4,613946873028171;28,0;20;38
95;Japan;AFC;30;76,1000000000000;2,986752359197598;76,0;72;82;11250000,000000000;9831958,7973660398;8250000,0;2300000;43500000;26,9000000000000;2,783572499876546;27,0;20;32
96;Jordan;AFC;3;70,3333333333333;8,082903768654761;75,0;61;75;3658333,333333333;2528874,9145288570;4700000,0;775000;5500000;25,3333333333333;5,507570547286102;28,0;19;29
97;Kazakhstan;UEFA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
98;Kenya;CAF;12;64,7500000000000;4,245318276964317;63,5;60;73;1095833,333333333;750971,5928937215;937500,0;300000;3100000;24,6666666666667;3,200378765462651;25,5;20;28
99;Kosovo;UEFA;30;71,2333333333333;3,953901027255656;70,5;67;83;4223333,333333333;5760294,1336139357;2050000,0;750000;25000000;26,8666666666667;3,202728721632198;26,0;21;33
100;Kuwait;AFC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
101;Kyrgyzstan;AFC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
102;Laos;AFC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;Latvia;UEFA;7;64,8571428571429;5,550632739564366;65,0;54;72;1072142,857142857;830496,1225218391;800000,0;230000;2700000;25,4285714285714;3,823486317361109;26,0;18;30
104;Lebanon;AFC;2;63,0000000000000;1,414213562373095;63,0;62;64;862500,000000000;760139,7897755386;862500,0;325000;1400000;25,5000000000000;7,778174593052023;25,5;20;31
105;Lesotho;CAF;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;Liberia;CAF;6;66,1666666666667;10,147249216741780;66,0;50;78;4448333,333333333;6420390,6942386823;1225000,0;90000;16500000;23,3333333333333;2,875181153713044;23,0;19;27
107;Libya;CAF;3;73,3333333333333;4,163331998932265;72,0;70;78;5125000,000000000;5996405,1731016310;2400000,0;975000;12000000;30,0000000000000;2,645751311064591;29,0;28;33
108;Liechtenstein;UEFA;1;58,0000000000000;NA;58,0;58;58;450000,000000000;NA;450000,0;450000;450000;19,0000000000000;NA;19,0;19;19
109;Lithuania;UEFA;10;63,1000000000000;5,384133067531753;63,0;56;70;1029500,000000000;987748,4216360179;812500,0;45000;2900000;23,9000000000000;5,858517066820086;23,0;18;36
110;Luxembourg;UEFA;15;65,7333333333333;5,147352532636374;66,0;57;77;1805000,000000000;3402194,6698313095;900000,0;350000;14000000;25,2000000000000;4,475329197787737;25,0;19;35
111;Macau;AFC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
112;Madagascar;CAF;6;68,6666666666667;3,386246693120079;70,0;64;72;1500000,000000000;699464,0805645420;1750000,0;525000;2300000;27,8333333333333;1,602081978759722;28,5;25;29
113;Malawi;CAF;2;63,0000000000000;0,000000000000000;63,0;63;63;650000,000000000;0,0000000000;650000,0;650000;650000;24,0000000000000;0,000000000000000;24,0;24;24
114;Malaysia;AFC;2;71,5000000000000;2,121320343559642;71,5;70;73;3050000,000000000;1343502,8842544402;3050000,0;2100000;4000000;25,0000000000000;0,000000000000000;25,0;25;25
115;Maldives;AFC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
116;Mali;CAF;30;72,9666666666667;2,697167522360849;73,0;68;79;4968333,333333333;3380024,5697263833;3900000,0;250000;12500000;26,1000000000000;3,744881564353469;25,0;19;35
117;Malta;UEFA;8;63,7500000000000;6,860862086606068;64,0;52;75;1375000,000000000;1451907,6121729352;862500,0;200000;4700000;23,5000000000000;4,750939756661683;23,0;16;31
118;Mauritania;CAF;10;62,9000000000000;6,063552314169200;62,5;53;75;1303500,000000000;1745096,3838392678;675000,0;170000;6000000;23,0000000000000;4,082482904638630;21,5;18;31
119;Mauritius;CAF;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
120;Moldova;UEFA;7;61,5714285714286;4,825527358301296;63,0;53;66;647857,142857143;639575,7522429558;375000,0;120000;1900000;24,7142857142857;6,047431568147635;22,0;19;34
121;Mongolia;AFC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
