Region,Date,Home,Score,Away
CONMEBOL,7 September 2023(2023-09-07),Paraguay,0–0,Peru
CONMEBOL,Unknown Date,Paraguay,0–0,Peru
CONMEBOL,7 September 2023(2023-09-07),Colombia,1–0,Venezuela
CONMEBOL,Unknown Date,Colombia,1–0,Venezuela
CONMEBOL,7 September 2023(2023-09-07),Argentina,1–0,Ecuador
CONMEBOL,Unknown Date,Argentina,1–0,Ecuador
CONMEBOL,8 September 2023(2023-09-08),Uruguay,3–1,Chile
CONMEBOL,Unknown Date,Uruguay,3–1,Chile
CONMEBOL,8 September 2023(2023-09-08),Brazil,5–1,Bolivia
CONMEBOL,Unknown Date,Brazil,5–1,Bolivia
CONMEBOL,12 September 2023(2023-09-12),Bolivia,0–3,Argentina
CONMEBOL,Unknown Date,Bolivia,0–3,Argentina
CONMEBOL,12 September 2023(2023-09-12),Ecuador,2–1,Uruguay
CONMEBOL,Unknown Date,Ecuador,2–1,Uruguay
CONMEBOL,12 September 2023(2023-09-12),Venezuela,1–0,Paraguay
CONMEBOL,Unknown Date,Venezuela,1–0,Paraguay
CONMEBOL,12 September 2023(2023-09-12),Chile,0–0,Colombia
CONMEBOL,Unknown Date,Chile,0–0,Colombia
CONMEBOL,12 September 2023(2023-09-12),Peru,0–1,Brazil
CONMEBOL,Unknown Date,Peru,0–1,Brazil
CONMEBOL,12 October 2023(2023-10-12),Colombia,2–2,Uruguay
CONMEBOL,Unknown Date,Colombia,2–2,Uruguay
CONMEBOL,12 October 2023(2023-10-12),Bolivia,1–2,Ecuador
CONMEBOL,Unknown Date,Bolivia,1–2,Ecuador
CONMEBOL,12 October 2023(2023-10-12),Argentina,1–0,Paraguay
CONMEBOL,Unknown Date,Argentina,1–0,Paraguay
CONMEBOL,12 October 2023(2023-10-12),Chile,2–0,Peru
CONMEBOL,Unknown Date,Chile,2–0,Peru
CONMEBOL,12 October 2023(2023-10-12),Brazil,1–1,Venezuela
CONMEBOL,Unknown Date,Brazil,1–1,Venezuela
CONMEBOL,17 October 2023(2023-10-17),Venezuela,3–0,Chile
CONMEBOL,Unknown Date,Venezuela,3–0,Chile
CONMEBOL,17 October 2023(2023-10-17),Paraguay,1–0,Bolivia
CONMEBOL,Unknown Date,Paraguay,1–0,Bolivia
CONMEBOL,17 October 2023(2023-10-17),Ecuador,0–0,Colombia
CONMEBOL,Unknown Date,Ecuador,0–0,Colombia
CONMEBOL,17 October 2023(2023-10-17),Uruguay,2–0,Brazil
CONMEBOL,Unknown Date,Uruguay,2–0,Brazil
