Team,Confederation,Status
Algeria,CAF,Qualified
Argentina,CONMEBOL,Qualified
Australia,AFC,Qualified
Austria,UEFA,Qualified
Belgium,UEFA,Qualified
Bosnia and Herzegovina,UEFA,Qualified
Brazil,CONMEBOL,Qualified
Canada,CONCACAF,Host
Cape Verde,CAF,Qualified
Colombia,CONMEBOL,Qualified
Croatia,UEFA,Qualified
Curaçao,CONCACAF,Qualified
Czechia,UEFA,Qualified
Côte d'Ivoire,CAF,Qualified
DR Congo,CAF,Qualified
Ecuador,CONMEBOL,Qualified
Egypt,CAF,Qualified
England,UEFA,Qualified
France,UEFA,Qualified
Germany,UEFA,Qualified
Ghana,CAF,Qualified
Haiti,CONCACAF,Qualified
Iran,AFC,Qualified
Iraq,AFC,Qualified
Japan,AFC,Qualified
Jordan,AFC,Qualified
Korea Republic,AFC,Qualified
Mexico,CONCACAF,Host
Morocco,CAF,Qualified
Netherlands,UEFA,Qualified
New Zealand,OFC,Qualified
Norway,UEFA,Qualified
Panama,CONCACAF,Qualified
Paraguay,CONMEBOL,Qualified
Portugal,UEFA,Qualified
Qatar,AFC,Qualified
Saudi Arabia,AFC,Qualified
Scotland,UEFA,Qualified
Senegal,CAF,Qualified
South Africa,CAF,Qualified
Spain,UEFA,Qualified
Sweden,UEFA,Qualified
Switzerland,UEFA,Qualified
Tunisia,CAF,Qualified
Türkiye,UEFA,Qualified
United States,CONCACAF,Host
Uruguay,CONMEBOL,Qualified
Uzbekistan,AFC,Qualified
